Id;Email;Intereses
1;javier.gil+ejercicio1@nateevo.com;Real Betis
2;javier.gil+ejercicio2@nateevo.com;Real Betis
3;javier.gil+ejercicio3@nateevo.com;Almeria
4;javier.gil+ejercicio4@nateevo.com;Real Mallorca
5;javier.gil+ejercicio5@nateevo.com;FC Barcelona
6;javier.gil+ejercicio6@nateevo.com;Real Sociedad
7;javier.gil+ejercicio7@nateevo.com;Real Mallorca
8;javier.gil+ejercicio8@nateevo.com;Las Palmas
9;javier.gil+ejercicio9@nateevo.com;Real Sociedad
10;javier.gil+ejercicio10@nateevo.com;Rayo Vallecano
11;javier.gil+ejercicio11@nateevo.com;Granada
12;javier.gil+ejercicio12@nateevo.com;Getafe
13;javier.gil+ejercicio13@nateevo.com;Athletic Club
14;javier.gil+ejercicio14@nateevo.com;Osasuna
15;javier.gil+ejercicio15@nateevo.com;Real Betis
16;javier.gil+ejercicio16@nateevo.com;Real Sociedad
17;javier.gil+ejercicio17@nateevo.com;Rayo Vallecano
18;javier.gil+ejercicio18@nateevo.com;Real Madrid
19;javier.gil+ejercicio19@nateevo.com;Getafe
20;javier.gil+ejercicio20@nateevo.com;Girona
21;javier.gil+ejercicio21@nateevo.com;Osasuna
22;javier.gil+ejercicio22@nateevo.com;Sevilla
23;javier.gil+ejercicio23@nateevo.com;Las Palmas
24;javier.gil+ejercicio24@nateevo.com;FC Barcelona
25;javier.gil+ejercicio25@nateevo.com;Real Mallorca
26;javier.gil+ejercicio26@nateevo.com;Sevilla
27;javier.gil+ejercicio27@nateevo.com;Granada
28;javier.gil+ejercicio28@nateevo.com;Real Sociedad
29;javier.gil+ejercicio29@nateevo.com;Villarreal
30;javier.gil+ejercicio30@nateevo.com;Girona
31;javier.gil+ejercicio31@nateevo.com;Celta de Vigo
32;javier.gil+ejercicio32@nateevo.com;Real Sociedad
33;javier.gil+ejercicio33@nateevo.com;Las Palmas
34;javier.gil+ejercicio34@nateevo.com;Deportivo Alaves
35;javier.gil+ejercicio35@nateevo.com;Cadiz
36;javier.gil+ejercicio36@nateevo.com;Real Madrid
37;javier.gil+ejercicio37@nateevo.com;Cadiz
38;javier.gil+ejercicio38@nateevo.com;Celta de Vigo
39;javier.gil+ejercicio39@nateevo.com;Deportivo Alaves
40;javier.gil+ejercicio40@nateevo.com;Deportivo Alaves
41;javier.gil+ejercicio41@nateevo.com;Granada
